one,two,three,four,five
37,业务,yè wù,"1. business
2. professional work
3. service
4. CL:項|项[xiang4]
",44
38,丛,cóng,"1. cluster
2. collection
3. collection of books
4. thicket
",2
39,东西,dōng xī,"1. east and west
2. thing
3. stuff
4. person
5. CL:個|个[ge4],件[jian4]
",11
40,丝毫,sī háo,"1. the slightest amount or degree
2. a bit
",12
41,丝绸,sī chóu,"1. silk cloth
2. silk
",12
42,丢人,diū rén,"1. to lose face
",12
43,严格,yán gé,"1. strict
2. stringent
3. tight
4. rigorous
",22
44,严肃,yán sù,"1. solemn
2. grave
3. serious
4. earnest
5. severe
",24
45,严重,yán zhòng,"1. grave
2. serious
3. severe
4. critical
",24
46,个,gè,"1. individual
2. this
3. that
4. size
5. classifier for people or objects in general
6. variant of 個|个[ge4]
",4
47,个人,gè rén,"1. individual
2. personal
3. oneself
",42
48,个别,gè bié,"1. individual
2. specific
3. respective
4. just one or two
",42
49,个性,gè xìng,"1. individuality
2. personality
",44
50,中介,zhōng jiè,"1. to act as intermediary
2. to link
3. intermediate
4. inter-
5. agency
6. agent
",14
51,中心,zhōng xīn,"1. center
2. heart
3. core
4. CL:個|个[ge4]
",11
52,中旬,zhōng xún,"1. middle third of a month
",12
53,串,chuàn,"1. to string together
2. to skewer
3. to connect wrongly
4. to gang up
5. to rove
6. string
7. bunch
8. skewer
9. classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of
10. to make a swift or abrupt linear movement (like a bead on an abacus)
11. to move across
",4
54,临时,lín shí,"1. at the instant sth happens
2. temporary
3. interim
4. ad hoc
",22
55,主人,zhǔ rén,"1. master
2. host
3. owner
4. CL:個|个[ge4]
",32
56,主任,zhǔ rèn,"1. director
2. head
3. CL:個|个[ge4]
",34
57,主动,zhǔ dòng,"1. to take the initiative
2. to do sth of one's own accord
3. spontaneous
4. active
5. opposite: passive 被動|被动[bei4 dong4]
6. drive (of gears and shafts etc)
",34
58,主席,zhǔ xí,"1. chairperson
2. premier
3. chairman
4. CL:個|个[ge4],位[wei4]
",32
59,主张,zhǔ zhāng,"1. to advocate
2. to stand for
3. view
4. position
5. stand
6. proposition
7. viewpoint
8. assertion
9. CL:個|个[ge4]
",31
60,主意,zhǔ yi,"1. plan
2. idea
3. decision
4. CL:個|个[ge4]
5. Beijing pr. [zhu2 yi5]
",30
61,主持,zhǔ chí,"1. to take charge of
2. to manage or direct
3. to preside over
4. to uphold
5. to stand for (justice etc)
6. to host (a TV or radio program etc)
7. (TV) anchor
",32
62,主观,zhǔ guān,"1. subjective
",31
63,主题,zhǔ tí,"1. theme
2. subject
",32
64,义务,yì wù,"1. duty
2. obligation
3. commitment
4. volunteer duty
5. CL:項|项[xiang4]
6. mandatory
7. voluntary
",44
65,之,zhī,"1. (possessive particle, literary equivalent of 的[de5])
2. him
3. her
4. it
",1
66,乐器,yuè qì,"1. musical instrument
2. CL:件[jian4]
",44
67,乐观,lè guān,"1. optimistic
2. hopeful
",41
68,乒乓,pīng pāng,"1. ping-pong
2. table tennis
",11
69,乖,guāi,"1. (of a child) obedient, well-behaved
2. clever
3. shrewd
4. alert
5. perverse
6. contrary to reason
7. irregular
8. abnormal
",1
70,乘,Chéng,"1. surname Cheng
2. to ride
3. to mount
4. to make use of
5. to avail oneself of
6. to take advantage of
7. to multiply (mathematics)
8. Buddhist sect or creed
9. four horse military chariot (archaic)
10. four (archaic)
11. generic term for history books
12. old variant of 乘[cheng2]
",2
71,乙,yǐ,"1. second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]
2. second in order
3. letter ""B"" or roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc
4. second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1])
5. ethyl
6. bent
7. winding
8. radical in Chinese characters (Kangxi radical 5)
9. ancient Chinese compass point: 105°
10. turning stroke (in Chinese characters)
11. see also 折[zhe2]
",3
72,九,jiǔ,"1. nine
2. 9
",3
73,也许,yě xǔ,"1. perhaps
2. maybe
",33
74,书架,shū jià,"1. bookshelf
2. CL:個|个[ge4]
",14
75,买,mǎi,"1. to buy
2. to purchase
",3
76,了,le,"1. (modal particle intensifying preceding clause)
2. (completed action marker)
3. to finish
4. to achieve
5. variant of 瞭|了[liao3]
6. to understand clearly
7. (of eyes) bright
8. clear-sighted
9. to understand clearly
10. unofficial variant of 瞭[liao4]
",0
77,争取,zhēng qǔ,"1. to fight for
2. to strive for
3. to win over
",13
78,争论,zhēng lùn,"1. to argue
2. to debate
3. to contend
4. argument
5. contention
6. controversy
7. debate
8. CL:次[ci4],場|场[chang3]
",14
79,事先,shì xiān,"1. in advance
2. before the event
3. beforehand
4. prior
",41
80,事实,shì shí,"1. fact
2. CL:個|个[ge4]
",42
81,事物,shì wù,"1. thing
2. object
3. CL:個|个[ge4]
",44
82,二,èr,"1. two
2. 2
3. (Beijing dialect) stupid
",4
83,于是,yú shì,"1. thereupon
2. as a result
3. consequently
4. thus
5. hence
",24
84,云,Yún,"1. (classical) to say
2. surname Yun
3. abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]
4. cloud
5. CL:朵[duo3]
",2
85,亚洲,Yà zhōu,"1. Asia
2. abbr. for 亞細亞洲|亚细亚洲[Ya4 xi4 ya4 Zhou1]
",41
86,交往,jiāo wǎng,"1. to associate (with)
2. to have contact (with)
3. to hang out (with)
4. to date
5. (interpersonal) relationship
6. association
7. contact
",13
87,交换,jiāo huàn,"1. to exchange
2. to swap
3. to switch (telecom)
4. commutative (math)
5. to commute
",14
88,交际,jiāo jì,"1. communication
2. social intercourse
",14
89,产业,chǎn yè,"1. industry
2. estate
3. property
4. industrial
",34
90,产品,chǎn pǐn,"1. goods
2. merchandise
3. product
4. CL:個|个[ge4]
",33
91,产生,chǎn shēng,"1. to arise
2. to come into being
3. to come about
4. to give rise to
5. to bring into being
6. to bring about
7. to produce
8. to engender
9. to generate
10. to appear
11. appearance
12. emergence
13. generation
14. production
15. yield
",31
92,享受,xiǎng shòu,"1. to enjoy
2. to live it up
3. pleasure
4. CL:種|种[zhong3]
",34
93,亮,liàng,"1. bright
2. clear
3. resonant
4. to shine
5. to show
6. to reveal
",4
94,亲切,qīn qiè,"1. amiable
2. cordial
3. close and dear
4. familiar
",14
95,亲戚,qīn qi,"1. a relative (i.e. family relation)
2. CL:門|门[men2],個|个[ge4],位[wei4]
",10
96,亲爱,qīn ài,"1. dear
2. beloved
3. darling
",14
97,亲自,qīn zì,"1. personally
2. in person
3. oneself
",14
98,人事,rén shì,"1. personnel
2. human resources
3. human affairs
4. ways of the world
5. (euphemism) sexuality
6. the facts of life
",24
99,人口,rén kǒu,"1. population
2. people
",23
100,人员,rén yuán,"1. staff
2. crew
3. personnel
4. CL:個|个[ge4]
",22
101,人才,rén cái,"1. talent
2. talented person
3. looks
4. attractive looks
",22
102,人物,rén wù,"1. person
2. character (in a play, novel etc)
3. protagonist
4. CL:個|个[ge4]
",24
103,人生,rén shēng,"1. life (one's time on earth)
",21
104,人类,rén lèi,"1. humanity
2. human race
3. mankind
",24
105,亿,yì,"1. 100 million
",4
106,今天,jīn tiān,"1. today
2. at the present
3. now
",11
107,仍然,réng rán,"1. still
2. yet
",22
108,从事,cóng shì,"1. to go for
2. to engage in
3. to undertake
4. to deal with
5. to handle
6. to do
",24
109,从前,cóng qián,"1. previously
2. formerly
3. once upon a time
",22
110,从容,cóng róng,"1. to go easy
2. unhurried
3. calm
4. Taiwan pr. [cong1 rong2]
",22
111,从此,cóng cǐ,"1. from now on
2. since then
3. henceforth
",23
112,从而,cóng ér,"1. thus
2. thereby
",22
113,仓促,cāng cù,"1. all of a sudden
2. hurriedly
",14
114,仓库,cāng kù,"1. depot
2. storehouse
3. warehouse
",14
115,仔细,zǐ xì,"1. careful
2. attentive
3. cautious
",34
116,代价,dài jià,"1. price
2. cost
3. consideration (in share dealing)
",44
117,代理,dài lǐ,"1. to act on behalf of sb in a responsible position
2. to act as an agent or proxy
3. surrogate
",43
118,代表,dài biǎo,"1. representative
2. delegate
3. CL:位[wei4],個|个[ge4],名[ming2]
4. to represent
5. to stand for
6. on behalf of
7. in the name of
",43
119,以,yǐ,"1. old variant of 以[yi3]
2. old variant of 以[yi3]
3. abbr. for Israel 以色列[Yi3 se4 lie4]
4. to use
5. by means of
6. according to
7. in order to
8. because of
9. at (a certain date or place)
",3
120,以为,yǐ wéi,"1. to believe
2. to think
3. to consider
4. to be under the impression
",32
121,以及,yǐ jí,"1. as well as
2. too
3. and
",32
122,以来,yǐ lái,"1. since (a previous event)
",32
123,价值,jià zhí,"1. value
2. worth
3. fig. values (ethical, cultural etc)
4. CL:個|个[ge4]
",42
124,任何,rèn hé,"1. any
2. whatever
3. whichever
4. whatsoever
",42
125,任务,rèn wu,"1. mission
2. assignment
3. task
4. duty
5. role
6. CL:項|项[xiang4],個|个[ge4]
",40
126,仿佛,fǎng fú,"1. variant of 彷彿|仿佛[fang3 fu2]
2. to seem
3. as if
4. alike
5. similar
",32
127,企业,qǐ yè,"1. company
2. firm
3. enterprise
4. corporation
5. CL:家[jia1]
",34
128,休闲,xiū xián,"1. leisure
2. relaxation
3. not working
4. idle
5. to enjoy leisure
6. to lie fallow
",12
129,优势,yōu shì,"1. superiority
2. dominance
3. advantage
",14
130,优惠,yōu huì,"1. preferential
2. favorable
",14
131,优点,yōu diǎn,"1. merit
2. benefit
3. strong point
4. advantage
5. CL:個|个[ge4],項|项[xiang4]
",13
132,优秀,yōu xiù,"1. outstanding
2. excellent
",14
133,优美,yōu měi,"1. graceful
2. fine
3. elegant
",13
134,伙伴,huǒ bàn,"1. partner
2. companion
3. comrade
",34
135,会,huì,"1. can
2. to be possible
3. to be able to
4. will
5. to be likely to
6. to be sure to
7. to assemble
8. to meet
9. to gather
10. to see
11. union
12. group
13. association
14. CL:個|个[ge4]
15. a moment (Taiwan pr. for this sense is [hui3])
16. to balance an account
17. accountancy
18. accounting
",4
136,会计,kuài jì,"1. accountant
2. accountancy
3. accounting
",44
137,伟大,wěi dà,"1. huge
2. great
3. grand
4. worthy of the greatest admiration
5. important (contribution etc)
",34
138,传单,chuán dān,"1. leaflet
2. flier
3. pamphlet
",21
139,传授,chuán shòu,"1. to impart
2. to pass on
3. to teach
",24
140,传播,chuán bō,"1. to disseminate
2. to propagate
3. to spread
",21
141,传染,chuán rǎn,"1. to infect
2. contagious
",23
142,传统,chuán tǒng,"1. tradition
2. traditional
3. convention
4. conventional
5. CL:個|个[ge4]
",23
143,传说,chuán shuō,"1. legend
2. folklore
3. tradition
4. it is said
5. they say that...
",21
144,传达,chuán dá,"1. to pass on
2. to convey
3. to relay
4. to transmit
5. transmission
",22
145,伤害,shāng hài,"1. to injure
2. to harm
",14
146,伤心,shāng xīn,"1. to grieve
2. to be broken-hearted
3. to feel deeply hurt
",11
147,伯母,bó mǔ,"1. wife of father's elder brother
2. aunt
3. (polite form of address for a woman who is about the age of one's mother)
4. CL:個|个[ge4]
",23
148,伴侣,bàn lǚ,"1. companion
2. mate
3. partner
",43
149,伴随,bàn suí,"1. to accompany
2. to follow
3. to occur together with
4. concomitant
",42
150,伸,shēn,"1. to stretch
2. to extend
",1
151,伺候,cì hòu,"1. to serve
2. to wait upon
",44
152,似乎,sì hū,"1. apparently
2. to seem
3. to appear
4. as if
5. seemingly
",41
153,似的,shì de,"1. seems as if
2. rather like
3. Taiwan pr. [si4 de5]
",40
154,位于,wèi yú,"1. to be located at
2. to be situated at
3. to lie
",42
155,位置,wèi zhì,"1. position
2. place
3. seat
4. CL:個|个[ge4]
",44
156,体会,tǐ huì,"1. to know from experience
2. to learn through experience
3. to realize
4. understanding
5. experience
",34
157,体现,tǐ xiàn,"1. to embody
2. to reflect
3. to incarnate
",34
158,体贴,tǐ tiē,"1. considerate (of other people's needs)
",31
159,体验,tǐ yàn,"1. to experience for oneself
",34
160,何况,hé kuàng,"1. let alone
2. to say nothing of
3. besides
4. what's more
",24
161,何必,hé bì,"1. there is no need
2. why should
",24
162,作为,zuò wéi,"1. one's conduct
2. deed
3. activity
4. accomplishment
5. achievement
6. to act as
7. as (in the capacity of)
8. qua
9. to view as
10. to look upon (sth as)
11. to take sth to be
",42
163,作品,zuò pǐn,"1. work (of art)
2. opus
3. CL:部[bu4],篇[pian1]
",43
164,作家,zuò jiā,"1. author
2. CL:個|个[ge4],位[wei4]
",41
165,作文,zuò wén,"1. to write an essay
2. composition (student essay)
3. CL:篇[pian1]
",42
166,作用,zuò yòng,"1. to act on
2. to affect
3. action
4. function
5. activity
6. impact
7. result
8. effect
9. purpose
10. intent
11. to play a role
12. corresponds to English -ity, -ism, -ization
13. CL:個|个[ge4]
",44
167,作者,zuò zhě,"1. author
2. writer
3. CL:個|个[ge4]
",43
168,佩服,pèi fú,"1. to admire
",42
169,使,shǐ,"1. to make
2. to cause
3. to enable
4. to use
5. to employ
6. to send
7. to instruct sb to do sth
8. envoy
9. messenger
",3
170,使劲儿,shǐ jìn r,"1. erhua variant of 使勁|使劲[shi3 jin4]
",34
171,使用,shǐ yòng,"1. to use
2. to employ
3. to apply
4. to make use of
",34
172,依然,yī rán,"1. still
2. as before
",12
173,侧面,cè miàn,"1. lateral side
2. side
3. aspect
4. profile
",44
174,便,biàn,"1. ordinary
2. plain
3. convenient
4. as convenient
5. when the chance arises
6. handy
7. easy
8. informal
9. simple
10. so
11. thus
12. to relieve oneself
13. to urinate
14. to defecate
15. equivalent to 就[jiu4]: then
16. in that case
17. even if
18. soon afterwards
19. advantageous
20. cheap
",4
175,便于,biàn yú,"1. easy to
2. convenient for
",42
176,便利,biàn lì,"1. convenient
2. easy
3. to facilitate
",44
177,便条,biàn tiáo,"1. (informal) note
2. CL:張|张[zhang1],個|个[ge4]
",42
178,促使,cù shǐ,"1. to induce
2. to promote
3. to urge
4. to impel
5. to bring about
6. to provoke
7. to drive (sb to do sth)
8. to catalyze
9. to actuate
10. to contribute to (some development)
",43
179,促进,cù jìn,"1. to promote (an idea or cause)
2. to advance
3. boost
",44
180,保养,bǎo yǎng,"1. to take good care of (or conserve) one's health
2. to keep in good repair
3. to maintain
4. maintenance
",33
181,保卫,bǎo wèi,"1. to defend
2. to safeguard
",34
182,保姆,bǎo mǔ,"1. nanny
2. housekeeper
",33
183,保存,bǎo cún,"1. to conserve
2. to preserve
3. to keep
4. to save (a file etc) (computing)
",32
184,保守,bǎo shǒu,"1. conservative
2. to guard
3. to keep
",33
185,保密,bǎo mì,"1. to keep sth confidential
2. to maintain secrecy
",34
186,保持,bǎo chí,"1. to keep
2. to maintain
3. to hold
4. to preserve
",32
187,保留,bǎo liú,"1. to retain
2. to continue to have
3. to preserve
4. to maintain
5. to reserve
6. reservations
7. to hold back (approval or acceptance)
",32
188,保管,bǎo guǎn,"1. to assure
2. to guarantee
3. to take care of
4. to safeguard
5. certainly
6. surely
",33
189,保重,bǎo zhòng,"1. to take care of oneself
",34
190,保险,bǎo xiǎn,"1. insurance
2. to insure
3. safe
4. secure
5. be sure
6. be bound to
7. CL:份[fen4]
",33
191,保障,bǎo zhàng,"1. to ensure
2. to guarantee
3. to safeguard
",34
192,信任,xìn rèn,"1. to trust
2. to have confidence in
",44
193,信号,xìn hào,"1. signal
",44
194,信封,xìn fēng,"1. envelope
2. CL:個|个[ge4]
",41
195,信心,xìn xīn,"1. confidence
2. faith (in sb or sth)
3. CL:個|个[ge4]
",41
196,信息,xìn xī,"1. information
2. news
3. message
",41
197,修改,xiū gǎi,"1. to amend
2. to alter
3. to modify
",13
198,修理,xiū lǐ,"1. to repair
2. to fix
3. to prune
4. to trim
5. (coll.) to sort sb out
6. to fix sb
",13
199,倒闭,dǎo bì,"1. to go bankrupt
2. to close down
",34
200,倒霉,dǎo méi,"1. to have bad luck
2. to be out of luck
",32
201,借口,jiè kǒu,"1. to use as an excuse
2. on the pretext
3. excuse
4. pretext
",43
202,倡导,chàng dǎo,"1. to advocate
2. to initiate
3. to propose
4. to be a proponent of (an idea or school of thought)
",43
203,倡议,chàng yì,"1. to suggest
2. to initiate
3. proposal
4. initiative
",44
204,值得,zhí de,"1. to be worth
2. to deserve
",20
205,假如,jiǎ rú,"1. if
",32
206,假装,jiǎ zhuāng,"1. to feign
2. to pretend
",31
207,假设,jiǎ shè,"1. to suppose
2. to presume
3. to assume
4. supposing that ...
5. if
6. hypothesis
7. conjecture
",34
208,停,tíng,"1. to stop
2. to halt
3. to park (a car)
",2
209,健身,jiàn shēn,"1. to exercise
2. to keep fit
3. to work out
4. physical exercise
",41
210,偶然,ǒu rán,"1. incidentally
2. occasional
3. occasionally
4. by chance
5. randomly
",32
211,偷,tōu,"1. to steal
2. to pilfer
3. to snatch
4. thief
5. stealthily
",1
212,偿还,cháng huán,"1. to repay
2. to reimburse
",22
213,傍晚,bàng wǎn,"1. in the evening
2. when night falls
3. towards evening
4. at night fall
5. at dusk
",43
214,储备,chǔ bèi,"1. reserves
2. to store up
",34
215,储存,chǔ cún,"1. stockpile
2. to store
3. to stockpile
4. storage
",32
216,储蓄,chǔ xù,"1. to deposit money
2. to save
3. savings
",34
217,催,cuī,"1. to urge
2. to press
3. to prompt
4. to rush sb
5. to hasten sth
6. to expedite
",1
218,傻,shǎ,"1. foolish
",3
219,儿子,ér zi,"1. son
",20
220,允许,yǔn xǔ,"1. to permit
2. to allow
",33
221,元旦,Yuán dàn,"1. New Year's Day
",24
222,兄弟,xiōng dì,"1. brothers
2. younger brother
3. CL:個|个[ge4]
4. I, me (humble term used by men in public speech)
5. brotherly
6. fraternal
",14
223,充分,chōng fèn,"1. ample
2. sufficient
3. adequate
4. full
5. fully
6. to the full
",14
224,充实,chōng shí,"1. rich
2. full
3. substantial
4. to enrich
5. to augment
6. to substantiate (an argument)
",12
225,充当,chōng dāng,"1. to serve as
2. to act as
3. to play the role of
",11
226,充沛,chōng pèi,"1. abundant
2. plentiful
3. vigorous
",14
227,充满,chōng mǎn,"1. full of
2. brimming with
3. very full
4. permeated
",13
228,充足,chōng zú,"1. adequate
2. sufficient
3. abundant
",12
229,光临,guāng lín,"1. (formal) to honor with one's presence
2. to attend
",12
230,光明,guāng míng,"1. light
2. radiance
3. (fig.) bright (prospects etc)
4. openhearted
",12
231,光滑,guāng huá,"1. glossy
2. sleek
3. smooth
",12
232,光盘,guāng pán,"1. compact disc
2. CD or DVD
3. CD ROM
4. CL:片[pian4],張|张[zhang1]
",12
233,克,kè,"1. to be able to
2. to subdue
3. to restrain
4. to overcome
5. gram
6. Tibetan unit of land area, about 6 ares
7. Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God
8. variant of 克[ke4]
9. to subdue
10. to overthrow
11. to restrain
12. to scold
13. to beat
14. variant of 剋|克[ke4]
",4
234,克服,kè fú,"1. (try to) overcome (hardships etc)
2. to conquer
3. to put up with
4. to endure
",42
235,兑换,duì huàn,"1. to convert
2. to exchange
",44
236,兑现,duì xiàn,"1. (of a cheque etc) to cash
2. to honor a commitment
",44
237,兔子,tù zi,"1. hare
2. rabbit
3. CL:隻|只[zhi1]
",40
238,党,dǎng,"1. surname Dang
2. party
3. association
4. club
5. society
6. CL:個|个[ge4]
",3
239,兜,dōu,"1. pocket
2. bag
3. to wrap up or hold in a bag
4. to move in a circle
5. to canvas or solicit
6. to take responsibility for
7. to disclose in detail
8. combat armor (old)
9. old variant of 兜[dou1]
",1
240,入口,rù kǒu,"1. entrance
2. to import
",43
241,全部,quán bù,"1. whole
2. entire
3. complete
",24
242,全面,quán miàn,"1. all-around
2. comprehensive
3. total
4. overall
",24
243,公主,gōng zhǔ,"1. princess
",13
244,公元,gōng yuán,"1. CE (Common Era)
2. Christian Era
3. AD (Anno Domini)
",12
245,公寓,gōng yù,"1. apartment building
2. block of flats
3. CL:套[tao4]
",14
246,公布,gōng bù,"1. to announce
2. to make public
3. to publish
",14
247,公平,gōng píng,"1. fair
2. impartial
",12
248,公开,gōng kāi,"1. public
2. to publish
3. to make public
",11
249,六,liù,"1. six
2. 6
",4
250,关闭,guān bì,"1. to close
2. to shut
",14
251,兴奋,xīng fèn,"1. excited
2. excitement
",14
252,其中,qí zhōng,"1. among
2. in
3. included among these
",21
253,其余,qí yú,"1. the rest
2. the others
3. remaining
4. remainder
5. apart from them
",22
254,其次,qí cì,"1. next
2. secondly
",24
255,具体,jù tǐ,"1. concrete
2. definite
3. specific
",43
256,具备,jù bèi,"1. to possess
2. to have
3. equipped with
4. able to fulfill (conditions or requirements)
",44
257,典型,diǎn xíng,"1. model
2. typical case
3. archetype
4. typical
5. representative
",32
258,典礼,diǎn lǐ,"1. celebration
2. ceremony
",33
259,养成,yǎng chéng,"1. to cultivate
2. to raise
3. to form (a habit)
4. to acquire
",32
260,兼职,jiān zhí,"1. to hold concurrent posts
2. concurrent job
3. moonlighting
",12
261,内科,nèi kē,"1. internal medicine
2. general medicine
",41
262,内部,nèi bù,"1. interior
2. inside (part, section)
3. internal
",44
263,册,cè,"1. book
2. booklet
3. classifier for books
",4
264,再三,zài sān,"1. over and over again
2. again and again
",41
265,冒险,mào xiǎn,"1. to take risks
2. to take chances
3. foray
4. adventure
",43
266,写作,xiě zuò,"1. to write
2. to compose
3. writing
4. written works
",34
267,军事,jūn shì,"1. military affairs
2. military matters
3. military
",14
268,农业,nóng yè,"1. agriculture
2. farming
",24
269,农村,nóng cūn,"1. rural area
2. village
3. CL:個|个[ge4]
",21
270,农民,nóng mín,"1. peasant
2. farmer
3. CL:個|个[ge4]
",22
271,冠军,guàn jūn,"1. champion
2. CL:個|个[ge4]
",41
272,冰雹,bīng báo,"1. hail
2. hailstone
3. CL:場|场[chang2],粒[li4]
",12
273,冲,chōng,"1. (of water) to dash against
2. to mix with water
3. to infuse
4. to rinse
5. to flush
6. to develop (a film)
7. to rise in the air
8. to clash
9. to collide with
10. thoroughfare
11. to go straight ahead
12. to rush
13. to clash
14. powerful
15. vigorous
16. pungent
17. towards
18. in view of
",1
274,冲击,chōng jī,"1. to attack
2. to batter
3. (of waves) to pound against
4. shock
5. impact
",11
275,冲动,chōng dòng,"1. to have an urge
2. to be impetuous
3. impulse
4. urge
",14
276,冲突,chōng tū,"1. conflict
2. to conflict
3. clash of opposing forces
4. collision (of interests)
5. contention
",11
277,决心,jué xīn,"1. determination
2. resolution
3. determined
4. firm and resolute
5. to make up one's mind
6. CL:個|个[ge4]
",21
278,决赛,jué sài,"1. finals (of a competition)
",24
279,冷,lěng,"1. surname Leng
2. cold
",3
280,冷淡,lěng dàn,"1. cold
2. indifferent
",34
281,冻,dòng,"1. to freeze
2. to feel very cold
3. aspic or jelly
",4
282,冻结,dòng jié,"1. to freeze (loan, wage, price etc)
",42
283,准时,zhǔn shí,"1. on time
2. punctual
3. on schedule
",32
284,准确,zhǔn què,"1. accurate
2. exact
3. precise
",34
285,凑合,còu he,"1. to bring together
2. to make do in a bad situation
3. to just get by
4. to improvise
5. passable
6. not too bad
",40
286,凡是,fán shì,"1. each and every
2. every
3. all
4. any
",24
287,凭,píng,"1. variant of 憑|凭[ping2]
2. to lean against
3. to rely on
4. on the basis of
5. no matter (how, what etc)
6. proof
",2
288,凹凸,āo tū,"1. bumpy
2. uneven
3. slotted and tabbed joint
4. crenelation
",11
289,出卖,chū mài,"1. to offer for sale
2. to sell
3. to sell out or betray
",14
290,出口,chū kǒu,"1. an exit
2. CL:個|个[ge4]
3. to speak
4. to export
5. (of a ship) to leave port
",13
291,出席,chū xí,"1. to attend
2. to participate
3. present
",12
292,出息,chū xi,"1. to yield interest, profit etc
2. to exhale (Buddhism)
3. future prospects
4. profit
5. to mature
6. to grow up
",10
293,出版,chū bǎn,"1. to publish
2. to come off the press
3. to put out
",13
294,出示,chū shì,"1. to show
2. to take out and show to others
3. to display
",14
295,出神,chū shén,"1. spellbound
2. entranced
3. lost in thought
",12
296,出色,chū sè,"1. remarkable
2. outstanding
",14
297,出路,chū lù,"1. a way out (of a difficulty etc)
",14
298,出身,chū shēn,"1. to be born of
2. to come from
3. family background
4. class origin
",11
299,分别,fēn bié,"1. to part or leave each other
2. to distinguish
3. difference
4. in different ways
5. differently
6. separately or individually
",12
300,分布,fēn bù,"1. distributed
2. to distribute
",14
301,分手,fēn shǒu,"1. to part company
2. to split up
3. to break up
",13
